id,titel,beschreibung,zielgruppe,kuche,ernahrung,schwierigkeitsgrad,portionen,vorbereitungszeit_min,kochzeit_min,gesamtzeit_min,kalorien_kcal,protein_g,kohlenhydrate_g,fett_g,allergene,tags,bewertung,autor,zutaten_json,schritte_json,sprache,erstellt_am,seo_slug
27,Proteinreicher Mediterran-Mix (pescetarisch),"Schnelles Mediterran-Rezept, abgestimmt auf Low-Carb.",Low-Carb,Mediterran,pescetarisch,mittel,3,9,12,21,692,26,54,35,"gluten, laktose, soja","pfanne, saisonal, schnell, suppe, unter_30_min",4.2,Community,"[""3 x Brühe"", ""2 x Vollkornpasta"", ""1 x Mais"", ""3 x Basilikum"", ""2 x Currypaste"", ""2 x Aubergine"", ""1 x Paprika"", ""3 x Petersilie"", ""3 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,27-proteinreicher-mediterran-mix-(pescetarisch)
28,Herzhafter Amerikanisch-Eintopf (glutenfrei),"Schnelles Amerikanisch-Rezept, abgestimmt auf Studierende.",Studierende,Amerikanisch,glutenfrei,leicht,2,12,20,32,477,32,57,17,"nüsse, weichtiere","schnell, suppe, unter_30_min",4.4,Community,"[""1 x Gurke"", ""2 x Quinoa"", ""2 x Kokosmilch"", ""2 x Spinat"", ""3 x Zitrone"", ""2 x Hähnchenbrust"", ""1 x Tomate""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,28-herzhafter-amerikanisch-eintopf-(glutenfrei)
29,Asiatischer Salat to go (omnivor),"Schnelles Asiatisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Asiatisch,omnivor,leicht,1,17,30,47,595,20,60,26,"fisch, gluten","eintopf, high_protein, mealprep, ofen, pfanne, proteinreich",3.8,Team Küche,"[""2 x Quinoa"", ""2 x Zucchini"", ""1 x Tomate"", ""1 x Zitrone"", ""1 x Sojasauce"", ""3 x Koriander"", ""1 x Joghurt"", ""2 x Tofu"", ""2 x Petersilie"", ""2 x Spinat"", ""3 x Paprika""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,29-asiatischer-salat-to-go-(omnivor)
30,Asiatische Pasta in 15 Minuten (keto),"Schnelles Asiatisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Asiatisch,keto,leicht,1,8,20,28,644,21,21,48,gluten,"familienfreundlich, low_carb, pfanne, proteinreich, unter_30_min",3.9,Chefkoch Max,"[""1 x Gurke"", ""3 x Spinat"", ""1 x Knoblauchzehe"", ""1 x Basilikum"", ""2 x Rapsöl"", ""1 x Kichererbsen"", ""3 x Rinderhack"", ""1 x Tomate"", ""2 x Brühe"", ""1 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,30-asiatische-pasta-in-15-minuten-(keto)
31,Cremiges Mexikanisch-Curry (glutenfrei),"Schnelles Mexikanisch-Rezept, abgestimmt auf Familien.",Familien,Mexikanisch,glutenfrei,mittel,4,8,26,34,329,12,36,14,,"familienfreundlich, mealprep, mild, saisonal, unter_15_min, unter_30_min",4.0,Chefkoch Max,"[""1 x Tomate"", ""3 x Petersilie"", ""3 x Tomatenmark"", ""3 x Olivenöl"", ""2 x Kidneybohnen"", ""2 x Kartoffeln"", ""3 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,31-cremiges-mexikanisch-curry-(glutenfrei)
32,Amerikanische Pasta in 15 Minuten (omnivor),"Schnelles Amerikanisch-Rezept, abgestimmt auf Studierende.",Studierende,Amerikanisch,omnivor,anspruchsvoll,4,12,20,32,607,40,31,30,"gluten, laktose, nüsse","eintopf, low_carb, mild, ofen",4.6,Gastautor,"[""2 x Brühe"", ""2 x Koriander"", ""1 x Currypaste"", ""2 x Paprika"", ""2 x Rapsöl"", ""2 x Joghurt"", ""2 x Petersilie"", ""2 x Quinoa"", ""3 x Sojasauce""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,32-amerikanische-pasta-in-15-minuten-(omnivor)
33,Ofenrezept: Orientalische Blechvariante (vegan),"Schnelles Orientalisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Orientalisch,vegan,mittel,1,12,16,28,400,14,44,25,,"faserreich, mealprep, mild, pfanne, proteinreich, schnell, unter_30_min",4.0,Chefkoch Lina,"[""1 x Currypaste"", ""1 x Paprika"", ""2 x Petersilie"", ""3 x Tofu"", ""2 x Vollkornpasta"", ""1 x Brühe"", ""2 x Kidneybohnen"", ""3 x Basilikum"", ""1 x Pasta""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,33-ofenrezept:-orientalische-blechvariante-(vegan)
34,One‑Pot Deutsch Comfort Food (glutenfrei),"Schnelles Deutsch-Rezept, abgestimmt auf Budget.",Budget,Deutsch,glutenfrei,mittel,1,13,5,18,481,34,46,18,gluten,"eintopf, familienfreundlich, faserreich, high_protein, saisonal, unter_30_min",4.2,Chefkoch Max,"[""3 x Zitrone"", ""1 x Spinat"", ""1 x Olivenöl"", ""1 x Koriander"", ""1 x Zucchini"", ""3 x Kichererbsen"", ""1 x Gurke"", ""3 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,34-one‑pot-deutsch-comfort-food-(glutenfrei)
35,Amerikanische Pasta in 15 Minuten (vegan),"Schnelles Amerikanisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Amerikanisch,vegan,mittel,1,12,20,32,514,20,63,23,,"mealprep, mild, nudeln, proteinreich, salat, schnell",4.1,Team Küche,"[""1 x Rapsöl"", ""2 x Paprika"", ""3 x Zwiebel"", ""2 x Tofu"", ""1 x Petersilie"", ""1 x Olivenöl"", ""2 x Tomate""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,35-amerikanische-pasta-in-15-minuten-(vegan)
36,Meal‑Prep Mediterran (pescetarisch) für 3 Tage,"Schnelles Mediterran-Rezept, abgestimmt auf One-Pot.",One-Pot,Mediterran,pescetarisch,leicht,2,16,7,23,669,19,50,38,"erdnüsse, gluten","eintopf, familienfreundlich, high_protein, salat, schnell, unter_30_min",4.2,Team Küche,"[""2 x Brühe"", ""2 x Kokosmilch"", ""3 x Gurke"", ""2 x Spinat"", ""1 x Currypaste"", ""2 x Paprika"", ""1 x Petersilie"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,36-meal‑prep-mediterran-(pescetarisch)-für-3-tage
37,Meal‑Prep Italienisch (pescetarisch) für 3 Tage,"Schnelles Italienisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Italienisch,pescetarisch,leicht,4,11,29,40,551,38,47,26,"gluten, laktose","faserreich, mealprep, nudeln, saisonal",3.9,Chefkoch Max,"[""1 x Tomatenmark"", ""2 x Quinoa"", ""2 x Koriander"", ""2 x Tomate"", ""1 x Zucchini"", ""1 x Karotte"", ""2 x Aubergine"", ""2 x Brühe"", ""1 x Basilikum"", ""3 x Tofu"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,37-meal‑prep-italienisch-(pescetarisch)-für-3-tage
38,Proteinreicher Orientalisch-Mix (glutenfrei),"Schnelles Orientalisch-Rezept, abgestimmt auf Low-Carb.",Low-Carb,Orientalisch,glutenfrei,mittel,3,6,19,25,628,18,71,30,"gluten, nüsse","high_protein, mealprep, ofen, proteinreich, saisonal, unter_15_min, unter_30_min",4.5,Team Küche,"[""2 x Zitrone"", ""1 x Kichererbsen"", ""3 x Kokosmilch"", ""3 x Kidneybohnen"", ""2 x Brühe"", ""2 x Tofu"", ""2 x Mais"", ""3 x Spinat"", ""3 x Olivenöl"", ""3 x Koriander"", ""1 x Haferflocken""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,38-proteinreicher-orientalisch-mix-(glutenfrei)
39,Ofenrezept: Asiatische Blechvariante (omnivor),"Schnelles Asiatisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Asiatisch,omnivor,leicht,2,14,25,39,480,37,50,19,"gluten, nüsse","pfanne, reis, salat",4.7,Team Küche,"[""3 x Spinat"", ""3 x Haferflocken"", ""3 x Basilikum"", ""3 x Hähnchenbrust"", ""1 x Rinderhack"", ""3 x Tomate"", ""2 x Tomatenmark"", ""3 x Karotte""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,39-ofenrezept:-asiatische-blechvariante-(omnivor)
40,Cremiges Orientalisch-Curry (glutenfrei),"Schnelles Orientalisch-Rezept, abgestimmt auf Familien.",Familien,Orientalisch,glutenfrei,leicht,2,10,10,20,603,35,74,15,"laktose, weichtiere","familienfreundlich, high_protein, pikant, schnell, suppe, unter_30_min",4.7,Chefkoch Max,"[""1 x Mais"", ""2 x Kokosmilch"", ""1 x Tomatenmark"", ""3 x Zucchini"", ""2 x Olivenöl"", ""2 x Tofu"", ""3 x Brühe"", ""1 x Zitrone"", ""3 x Kartoffeln"", ""3 x Rapsöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,40-cremiges-orientalisch-curry-(glutenfrei)
41,Cremiges Italienisch-Curry (vegan),"Schnelles Italienisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Italienisch,vegan,leicht,3,12,19,31,437,25,67,14,,"familienfreundlich, mealprep, mild, pfanne, salat, unter_15_min, unter_30_min",4.5,Gastautor,"[""1 x Kokosmilch"", ""1 x Zucchini"", ""2 x Knoblauchzehe"", ""2 x Kichererbsen"", ""3 x Brühe"", ""1 x Paprika"", ""3 x Sojasauce"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,41-cremiges-italienisch-curry-(vegan)
42,Schnelle Deutsch-Pfanne (glutenfrei),"Schnelles Deutsch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Deutsch,glutenfrei,leicht,4,5,13,18,509,29,48,14,,"mealprep, pikant, proteinreich, reis, schnell, unter_30_min",4.0,Chefkoch Lina,"[""1 x Tomate"", ""3 x Rinderhack"", ""2 x Basilikum"", ""1 x Reis"", ""3 x Zwiebel"", ""2 x Quinoa"", ""1 x Kartoffeln"", ""3 x Koriander""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,42-schnelle-deutsch-pfanne-(glutenfrei)
43,Schnelle Indisch-Pfanne (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Indisch,glutenfrei,mittel,2,5,17,22,506,32,65,11,gluten,"eintopf, mealprep, pfanne, pikant, proteinreich, saisonal, unter_30_min",4.3,Gastautor,"[""1 x Karotte"", ""1 x Joghurt"", ""3 x Haferflocken"", ""2 x Sojasauce"", ""1 x Quinoa"", ""2 x Gurke"", ""1 x Petersilie"", ""1 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,43-schnelle-indisch-pfanne-(glutenfrei)
44,Herzhafter Indisch-Eintopf (omnivor),"Schnelles Indisch-Rezept, abgestimmt auf Sportler.",Sportler,Indisch,omnivor,leicht,3,17,22,39,728,29,55,23,gluten,"high_protein, mild, pfanne, proteinreich, salat, suppe",4.3,Chefkoch Lina,"[""3 x Haferflocken"", ""1 x Kidneybohnen"", ""3 x Basilikum"", ""2 x Joghurt"", ""2 x Aubergine"", ""1 x Koriander"", ""1 x Rapsöl"", ""2 x Kartoffeln"", ""3 x Lachsfilet"", ""2 x Karotte""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,44-herzhafter-indisch-eintopf-(omnivor)
45,Cremiges Orientalisch-Curry (keto),"Schnelles Orientalisch-Rezept, abgestimmt auf Senioren.",Senioren,Orientalisch,keto,mittel,3,19,16,35,669,43,22,41,"gluten, laktose","low_carb, mealprep, pfanne, reis, saisonal, salat, unter_15_min",4.8,Team Küche,"[""3 x Lachsfilet"", ""1 x Tomate"", ""3 x Aubergine"", ""2 x Olivenöl"", ""2 x Kidneybohnen"", ""2 x Tomatenmark""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,45-cremiges-orientalisch-curry-(keto)
46,Meal‑Prep Asiatisch (omnivor) für 3 Tage,"Schnelles Asiatisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Asiatisch,omnivor,mittel,2,16,17,33,602,26,45,35,laktose,"eintopf, faserreich, low_carb, mealprep, mild, proteinreich, reis",4.7,Community,"[""3 x Pasta"", ""2 x Basilikum"", ""3 x Mais"", ""1 x Paprika"", ""3 x Tomate"", ""3 x Currypaste"", ""2 x Karotte"", ""2 x Zucchini"", ""1 x Gurke"", ""3 x Joghurt"", ""3 x Sojasauce""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,46-meal‑prep-asiatisch-(omnivor)-für-3-tage
47,Schnelle Mediterran-Pfanne (vegan),"Schnelles Mediterran-Rezept, abgestimmt auf Familien.",Familien,Mediterran,vegan,anspruchsvoll,3,11,30,41,359,27,43,17,"gluten, sellerie","eintopf, familienfreundlich, high_protein, saisonal, schnell",3.9,Chefkoch Max,"[""3 x Sojasauce"", ""3 x Zitrone"", ""1 x Tomate"", ""1 x Basilikum"", ""2 x Kichererbsen"", ""3 x Quinoa"", ""1 x Karotte"", ""1 x Zucchini"", ""3 x Koriander"", ""1 x Haferflocken"", ""2 x Kartoffeln"", ""1 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,47-schnelle-mediterran-pfanne-(vegan)
48,Ofenrezept: Mediterrane Blechvariante (vegan),"Schnelles Mediterran-Rezept, abgestimmt auf Familien.",Familien,Mediterran,vegan,leicht,4,14,7,21,537,32,51,16,"erdnüsse, gluten, soja","familienfreundlich, faserreich, mealprep, reis, unter_30_min",4.3,Team Küche,"[""2 x Haferflocken"", ""3 x Karotte"", ""3 x Knoblauchzehe"", ""2 x Koriander"", ""3 x Basilikum"", ""2 x Quinoa"", ""2 x Olivenöl"", ""1 x Pasta"", ""3 x Tomatenmark"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,48-ofenrezept:-mediterrane-blechvariante-(vegan)
49,Italienische Bowl für Senioren (keto),"Schnelles Italienisch-Rezept, abgestimmt auf Senioren.",Senioren,Italienisch,keto,leicht,2,10,19,29,717,34,21,55,"fisch, gluten, laktose, weichtiere","faserreich, low_carb, mealprep, nudeln, pfanne, proteinreich, reis, unter_30_min",4.7,Chefkoch Max,"[""3 x Aubergine"", ""2 x Tofu"", ""1 x Hähnchenbrust"", ""1 x Knoblauchzehe"", ""2 x Koriander"", ""3 x Currypaste"", ""2 x Spinat"", ""2 x Rinderhack"", ""2 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,49-italienische-bowl-für-senioren-(keto)
50,Italienische Pasta in 15 Minuten (omnivor),"Schnelles Italienisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Italienisch,omnivor,mittel,2,19,12,31,517,29,38,33,"gluten, sellerie, weichtiere","low_carb, mealprep, proteinreich, saisonal, salat, unter_15_min",4.2,Chefkoch Lina,"[""3 x Kokosmilch"", ""2 x Karotte"", ""3 x Rapsöl"", ""3 x Knoblauchzehe"", ""3 x Pasta"", ""1 x Reis"", ""1 x Hähnchenbrust"", ""1 x Kidneybohnen"", ""2 x Tomatenmark"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,50-italienische-pasta-in-15-minuten-(omnivor)
51,Cremiges Indisch-Curry (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Indisch,glutenfrei,mittel,2,11,24,35,508,28,67,22,laktose,"faserreich, nudeln, reis, schnell, suppe",4.4,Chefkoch Max,"[""2 x Quinoa"", ""2 x Kichererbsen"", ""1 x Rapsöl"", ""2 x Kokosmilch"", ""2 x Sojasauce"", ""3 x Tofu"", ""1 x Koriander""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,51-cremiges-indisch-curry-(glutenfrei)
52,Mexikanische Bowl für Budget (glutenfrei),"Schnelles Mexikanisch-Rezept, abgestimmt auf Budget.",Budget,Mexikanisch,glutenfrei,leicht,3,20,13,33,549,19,72,28,,"familienfreundlich, faserreich, nudeln, pikant, proteinreich, unter_15_min, unter_30_min",4.0,Gastautor,"[""3 x Sojasauce"", ""2 x Spinat"", ""3 x Zitrone"", ""2 x Kartoffeln"", ""3 x Olivenöl"", ""2 x Aubergine"", ""2 x Kokosmilch""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,52-mexikanische-bowl-für-budget-(glutenfrei)
